0	0	0	0	0	1020	0	0	0	919	780	0	1052	0	0	0	883	0	0	0	1057	0	548	0	0	1080	0	0	1049	625	0	0	0	0	780	1052	0	606	0	0	0	992	1080	780	0	0	0	583	0	873	0	0	707	0	908	682	567	930	0	0	964	680	0	0	531	959	0	594	932	0	0	759	0	0	752	0	1036	0	1080	0	728	0
0	0	0	0	702	0	0	875	0	534	0	842	878	0	0	0	0	0	0	0	0	780	589	0	0	551	0	0	0	0	989	801	849	592	658	817	0	0	0	0	501	509	0	0	0	0	0	0	0	0	0	480	0	0	0	651	816	780	0	625	480	549	913	0	0	0	0	982	0	0	1013	0	0	0	0	0	966	913	0	0	955	0
0	0	0	0	732	0	0	981	0	564	0	939	998	0	0	0	0	0	0	0	0	1080	619	0	0	620	0	0	0	0	1019	886	879	709	719	882	0	0	0	0	570	573	0	0	0	0	0	0	0	0	0	780	0	0	0	726	846	1080	0	736	780	636	1010	0	0	0	0	1012	0	0	1077	0	0	0	0	0	996	943	0	0	985	0
0	0	0	676	876	0	527	0	995	583	480	780	0	0	0	0	0	951	0	0	0	480	503	480	672	480	0	1026	0	480	0	698	0	808	554	0	1022	0	780	480	703	0	587	0	0	0	1003	847	0	0	979	976	863	632	0	0	0	0	681	625	0	780	697	975	706	0	0	0	0	535	982	0	0	0	0	829	0	480	0	909	975	0
0	0	0	706	906	0	638	0	1065	648	780	1080	0	0	0	0	0	981	0	0	0	780	533	780	755	780	0	1056	0	780	0	762	0	927	639	0	1052	0	1080	586	733	0	653	0	0	0	1033	917	0	0	1080	1055	983	662	0	0	0	0	711	707	0	890	727	1052	780	0	0	0	0	654	1080	0	0	0	0	893	0	780	0	976	1005	0



CII matrix(caregiver, patient)
0	0	0	0	0	0	0	9	10	0	0	0	0	10	0	0	0	8	10	0	7	0	8	6	9	0	0	0	6	0	0	9	0	0	0	0	0	0	9	0	7	7	0	0	10	7	0	0	0	0	0	0	0	0	0	6	0	9	8	0	6	0	6	7	0	8	10	0	0	0	0	9	8	0	9	0	0	0	0	10	0	0
0	6	7	0	0	0	3	3	4	4	0	0	3	4	4	5	3	3	6	4	4	0	7	3	5	7	5	5	4	3	4	5	6	6	5	0	3	3	7	5	3	5	0	4	6	7	0	0	3	5	3	3	0	7	0	5	0	7	6	4	6	3	6	4	0	5	3	5	3	4	3	3	5	6	4	4	0	7	0	5	0	0
0	2	2	4	5	1	5	0	0	2	2	2	1	0	4	4	1	0	0	4	0	2	0	0	0	5	5	4	0	5	1	0	4	3	3	5	1	3	0	3	0	0	2	2	0	0	2	3	2	1	3	4	1	2	2	0	2	0	0	3	0	4	0	0	3	0	0	4	5	4	5	0	0	2	0	4	1	5	3	0	3	0
0	3	4	6	3	4	5	0	0	7	6	7	6	0	7	3	7	0	0	6	0	7	0	0	0	5	3	6	0	7	6	0	6	7	4	7	4	6	0	7	0	0	4	7	0	0	5	7	7	5	6	4	3	4	3	0	4	0	0	5	0	4	0	0	3	0	0	3	5	7	3	0	0	3	0	5	6	7	3	0	4	0
0	5	5	2	2	1	2	0	0	5	4	2	3	0	5	2	2	0	0	3	0	2	0	0	0	3	5	2	0	4	1	0	1	3	1	4	4	2	0	5	0	0	3	1	0	0	1	2	1	1	4	3	1	3	1	0	2	0	0	5	0	4	0	0	4	0	0	2	1	1	5	0	0	5	0	1	4	5	1	0	3	0
0	7	10	0	0	0	10	0	0	6	0	0	6	0	8	10	7	0	0	6	0	0	0	0	0	10	10	6	0	7	6	0	9	7	8	0	8	6	0	10	0	0	0	8	0	0	0	0	6	6	9	9	0	8	0	0	0	0	0	6	0	8	0	0	0	0	0	6	10	10	8	0	0	9	0	8	0	9	0	0	0	0
0	0	0	10	6	6	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	8	0	0	0	7	7	0	0	0	0	10	0	7	0	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	10	0	7	0	10	0
0	4	7	0	0	0	4	4	4	5	0	0	7	6	4	5	6	4	6	4	5	0	6	3	7	4	7	3	6	5	4	6	6	4	3	0	7	6	4	5	3	4	0	6	5	7	0	0	3	3	4	5	0	5	0	3	0	6	5	6	6	6	5	3	0	6	4	6	6	5	4	4	7	3	4	4	0	6	0	5	0	0
0	0	0	5	6	5	0	5	3	0	5	7	0	4	0	0	0	3	3	0	3	5	7	3	4	0	0	0	7	0	0	4	0	0	0	5	0	0	3	0	4	3	7	0	4	4	7	4	0	0	0	0	5	0	4	6	5	5	5	0	6	0	6	4	3	7	3	0	0	0	0	6	6	0	7	0	5	0	7	3	5	0
0	7	5	3	6	6	5	0	0	5	6	5	3	0	5	6	3	0	0	6	0	7	0	0	0	4	4	3	0	3	4	0	7	7	4	5	7	4	0	7	0	0	5	5	0	0	5	5	3	6	5	4	7	7	4	0	7	0	0	3	0	4	0	0	6	0	0	7	5	5	3	0	0	3	0	3	3	3	5	0	6	0
0	7	7	0	0	0	6	6	7	3	0	0	4	6	5	7	6	5	5	4	4	0	3	6	7	6	7	7	4	7	6	7	6	7	6	0	7	4	5	7	5	7	0	6	4	5	0	0	6	4	4	4	0	3	0	5	0	4	6	3	5	6	7	5	0	7	3	5	6	5	7	3	3	3	3	5	0	5	0	5	0	0
0	6	5	3	4	5	5	0	0	6	4	6	7	0	7	5	7	0	0	3	0	3	0	0	0	4	3	4	0	4	7	0	6	3	6	7	7	6	0	3	0	0	6	7	0	0	4	4	4	5	3	7	3	5	5	0	6	0	0	4	0	4	0	0	4	0	0	4	4	4	4	0	0	6	0	3	3	6	5	0	5	0
0	7	9	0	0	0	10	0	0	10	0	0	10	0	7	7	6	0	0	10	0	0	0	0	0	10	6	7	0	8	7	0	7	8	10	0	7	10	0	6	0	0	0	9	0	0	0	0	6	10	8	8	0	9	0	0	0	0	0	9	0	7	0	0	0	0	0	9	10	8	9	0	0	7	0	6	0	7	0	0	0	0
0	0	0	7	10	8	0	0	0	0	10	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	6	0	0	0	8	9	0	0	0	0	9	0	7	0	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	6	0	10	0	7	0
0	3	4	6	3	3	7	0	0	4	4	6	5	0	3	4	3	0	0	6	0	7	0	0	0	5	6	5	0	4	5	0	3	7	7	3	5	6	0	6	0	0	5	3	0	0	5	3	4	3	7	6	5	5	7	0	7	0	0	4	0	3	0	0	7	0	0	5	3	5	3	0	0	6	0	6	4	7	6	0	3	0


travel time=
0	27	23	18	54	30	22	18	13	37	22	38	23	8	23	24	38	25	26	16	49	29	46	17	18	16	30	30	23	11	47	21	19	25	36	22	37	52	21	43	14	22	21	16	41	25	15	13	23	19	42	44	22	10	13	15	16	28	32	28	31	45	18	38	15	27	22	11	21	20	50	21	24	43	12	16	11	44	22	17	43	0
27	0	31	22	46	44	41	34	29	50	15	51	33	21	40	39	32	37	35	14	47	32	34	31	10	33	23	39	37	30	40	8	29	30	46	42	39	50	11	32	22	19	16	33	37	33	17	27	32	28	32	39	16	30	17	25	12	20	49	45	41	43	22	38	22	24	34	21	34	32	48	33	36	40	29	22	26	37	20	34	36	27
23	31	0	38	33	13	15	9	10	19	17	20	2	18	11	47	19	6	48	18	26	6	29	39	22	39	15	8	8	34	26	23	4	4	16	45	15	30	20	25	11	13	15	39	20	2	32	35	45	4	24	23	16	14	17	37	21	16	19	15	10	22	38	15	35	12	4	30	44	43	27	44	47	22	11	10	12	25	12	40	22	23
18	22	38	0	64	47	40	35	29	54	29	55	38	20	40	17	48	42	13	23	61	42	53	9	21	12	38	45	40	12	57	23	33	39	52	21	51	64	25	50	27	31	28	12	52	40	7	8	10	33	50	55	30	28	22	4	20	35	50	45	47	57	0	50	2	37	38	7	12	9	62	11	13	55	29	28	26	54	32	13	53	18
54	46	33	64	0	38	46	41	42	38	35	38	34	47	42	77	16	35	76	41	11	27	14	69	43	69	25	31	39	64	7	41	37	29	32	76	20	10	39	15	40	33	35	69	13	31	57	64	73	36	14	10	34	46	43	64	44	28	44	43	32	13	64	19	62	27	36	58	73	71	12	73	76	12	44	38	43	10	33	70	11	54
30	44	13	47	38	0	11	12	18	6	30	8	11	28	8	53	27	7	57	30	28	15	38	47	34	46	27	8	8	41	32	36	16	16	7	49	18	31	33	35	22	26	28	46	26	12	42	43	53	16	33	28	29	20	29	45	33	29	7	5	6	25	47	20	45	24	10	40	51	51	28	51	55	26	19	22	21	32	25	47	29	30
22	41	15	40	46	11	0	8	13	16	30	18	13	22	5	43	33	12	47	27	38	21	44	38	31	36	30	16	8	31	40	34	14	19	18	39	26	41	31	40	19	26	27	36	34	16	36	34	44	15	39	36	28	12	25	37	29	31	11	7	15	34	40	28	37	27	11	32	42	41	38	42	45	35	12	20	16	39	25	37	37	22
18	34	9	35	41	12	8	0	6	19	22	20	7	16	5	42	27	8	45	20	34	15	38	35	24	34	23	12	4	29	35	27	7	12	18	38	22	37	24	34	12	19	20	34	29	10	30	31	41	8	32	31	21	8	18	33	22	23	16	11	13	30	35	23	33	20	5	28	39	39	34	39	43	30	6	12	9	33	17	35	31	18
13	29	10	29	42	18	13	6	0	25	18	26	10	10	12	37	27	12	39	15	36	16	37	30	18	29	21	17	10	24	36	21	6	13	23	34	25	40	19	33	7	15	15	29	30	12	24	26	36	6	32	32	17	4	12	28	17	20	22	17	18	32	29	25	27	18	9	22	34	33	37	34	37	31	2	8	3	34	14	31	31	13
37	50	19	54	38	6	16	19	25	0	36	2	17	34	14	59	29	13	63	36	27	19	41	53	40	52	32	12	14	47	33	42	22	20	6	55	19	30	39	37	29	32	34	52	28	18	49	49	60	22	35	29	34	26	35	52	39	34	7	10	9	25	54	21	51	29	16	46	57	57	27	58	61	27	25	29	28	33	30	53	31	37
22	15	17	29	35	30	30	22	18	36	0	37	19	15	27	43	20	23	41	6	34	18	25	34	8	36	10	24	24	31	28	7	16	16	32	43	25	37	4	22	11	4	2	36	24	18	22	30	38	15	21	26	2	20	9	30	9	7	36	32	27	29	29	24	27	9	21	23	38	37	35	38	41	27	19	10	16	25	5	37	24	22
38	51	20	55	38	8	18	20	26	2	37	0	19	36	15	61	31	15	64	38	27	21	42	55	42	53	33	13	16	48	34	44	23	22	7	56	20	30	41	38	30	33	35	53	29	19	50	51	61	24	36	30	36	28	36	53	41	35	8	11	11	26	55	22	53	30	18	48	59	58	27	59	62	28	26	30	29	34	32	55	32	38
23	33	2	38	34	11	13	7	10	17	19	19	0	19	9	47	20	4	49	19	27	8	31	40	23	39	18	7	6	34	28	25	5	6	14	44	15	30	22	27	12	15	17	39	22	3	33	35	46	5	25	24	18	13	18	37	22	19	17	13	9	23	38	16	36	14	2	31	44	43	28	44	47	23	11	12	12	26	14	40	24	23
8	21	18	20	47	28	22	16	10	34	15	36	19	0	22	30	31	22	31	9	43	23	39	22	11	22	22	26	20	17	40	15	14	20	33	29	32	46	13	35	8	14	13	22	35	20	14	17	27	13	34	37	15	10	5	19	9	20	32	27	27	38	20	32	17	20	19	12	26	25	44	26	29	37	10	9	7	37	15	24	36	8
23	40	11	40	42	8	5	5	12	14	27	15	9	22	0	46	29	7	49	25	33	16	40	39	29	38	27	11	3	33	36	32	11	15	14	42	22	36	29	36	17	23	25	38	29	12	36	36	46	12	34	32	25	13	23	38	28	27	10	5	11	29	40	23	38	23	7	33	43	43	33	44	47	30	12	18	15	34	22	39	32	23
24	39	47	17	77	53	43	42	37	59	43	61	47	30	46	0	61	49	9	37	73	53	68	9	36	8	52	53	46	13	70	39	43	49	59	7	61	76	40	65	38	44	42	8	65	49	22	13	9	43	64	67	44	34	34	14	34	49	54	50	55	68	17	62	18	50	46	20	5	8	74	6	5	67	36	39	35	67	45	7	66	24
38	32	19	48	16	27	33	27	27	29	20	31	20	31	29	61	0	22	60	25	15	13	11	53	27	53	10	19	25	48	9	27	22	15	24	60	11	17	24	8	24	18	20	53	5	17	42	48	57	21	6	7	19	31	27	49	28	13	34	31	21	11	48	9	46	11	23	42	57	55	16	57	60	7	29	22	28	6	17	55	4	38
25	37	6	42	35	7	12	8	12	13	23	15	4	22	7	49	22	0	52	23	26	9	33	42	27	42	21	4	4	36	29	29	9	9	11	46	15	30	26	29	16	19	21	42	22	5	36	38	48	9	27	25	21	15	22	40	26	22	13	10	6	23	42	16	39	17	3	34	46	46	27	47	50	23	13	15	15	28	18	43	25	25
26	35	48	13	76	57	47	45	39	63	41	64	49	31	49	9	60	52	0	35	73	54	66	10	34	12	51	56	49	16	69	36	44	50	62	16	62	76	37	63	38	43	41	12	65	51	19	13	3	44	62	67	42	37	34	12	32	48	58	54	57	69	13	62	15	49	48	19	6	6	74	5	3	67	38	39	37	66	44	11	65	26
16	14	18	23	41	30	27	20	15	36	6	38	19	9	25	37	25	23	35	0	38	20	31	28	4	29	16	26	23	25	34	7	15	18	33	37	29	42	4	28	8	8	6	29	29	19	16	23	32	14	27	32	7	16	3	24	3	13	35	31	28	34	23	28	21	14	20	17	32	30	40	32	35	32	15	8	12	31	9	30	30	16
49	47	26	61	11	28	38	34	36	27	34	27	27	43	33	73	15	26	73	38	0	20	20	65	41	65	24	22	30	60	10	41	30	23	22	71	12	3	38	19	35	31	33	65	10	24	55	60	70	30	17	9	32	40	39	61	42	28	33	33	22	4	61	11	59	24	29	55	69	68	2	69	72	7	38	34	38	12	30	66	12	49
29	32	6	42	27	15	21	15	16	19	18	21	8	23	16	53	13	9	54	20	20	0	24	45	24	45	12	8	13	40	20	25	10	3	15	51	9	24	22	20	15	14	16	45	14	5	36	40	50	10	18	16	16	20	20	42	24	15	22	19	10	16	42	9	40	10	10	35	49	48	21	49	52	15	18	14	18	19	12	46	16	29
46	34	29	53	14	38	44	38	37	41	25	42	31	39	40	68	11	33	66	31	20	24	0	59	32	61	16	31	37	56	10	30	32	25	35	68	22	21	29	4	33	25	26	61	13	28	47	55	63	31	6	12	24	41	34	55	34	19	45	43	33	18	53	20	51	19	34	48	63	61	22	63	66	15	39	31	37	8	24	61	10	46
17	31	39	9	69	47	38	35	30	53	34	55	40	22	39	9	53	42	10	28	65	45	59	0	27	3	43	46	39	6	62	30	35	41	53	12	53	68	31	56	30	35	33	3	56	42	14	4	7	35	55	59	35	27	26	5	25	41	48	44	48	60	9	54	9	42	39	11	4	4	66	4	8	58	29	31	27	59	36	3	57	17
18	10	22	21	43	34	31	24	18	40	8	42	23	11	29	36	27	27	34	4	41	24	32	27	0	29	17	29	27	25	36	3	19	21	37	37	32	44	3	29	12	10	8	29	32	23	15	23	31	18	29	34	9	20	7	22	2	14	39	35	32	37	21	31	19	17	24	16	31	29	42	31	34	34	19	12	16	33	12	30	32	18
16	33	39	12	69	46	36	34	29	52	36	53	39	22	38	8	53	42	12	29	65	45	61	3	29	0	45	46	39	5	62	32	35	42	52	9	54	68	32	57	30	36	35	0	57	41	16	6	9	35	56	60	36	26	27	8	27	42	47	43	47	61	12	54	12	42	38	13	5	6	66	6	9	59	28	31	27	60	37	1	58	16
30	23	15	38	25	27	30	23	21	32	10	33	18	22	27	52	10	21	51	16	24	12	16	43	17	45	0	20	23	40	19	17	17	12	27	52	17	27	14	13	16	8	10	45	15	15	32	39	48	16	12	17	9	25	18	39	19	3	34	31	22	20	38	16	36	3	20	33	48	46	26	47	51	17	23	15	21	15	8	46	14	30
30	39	8	45	31	8	16	12	17	12	24	13	7	26	11	53	19	4	56	26	22	8	31	46	29	46	20	0	8	40	25	31	12	9	8	50	11	25	28	27	19	20	22	46	19	6	40	42	52	12	25	21	23	20	25	44	29	22	14	12	2	19	45	12	43	17	8	38	51	50	22	51	54	19	17	18	19	24	19	47	22	30
23	37	8	40	39	8	8	4	10	14	24	16	6	20	3	46	25	4	49	23	30	13	37	39	27	39	23	8	0	33	32	29	8	11	13	43	19	34	26	33	15	20	22	39	26	8	34	36	46	9	31	29	22	12	21	38	26	24	12	8	9	27	40	20	37	20	3	32	44	43	31	44	47	27	11	15	13	31	19	40	29	23
11	30	34	12	64	41	31	29	24	47	31	48	34	17	33	13	48	36	16	25	60	40	56	6	25	5	40	40	33	0	57	28	29	36	47	12	48	63	28	52	25	31	30	5	52	36	14	4	13	30	51	54	31	21	22	8	22	37	42	38	42	55	12	48	11	37	33	10	10	10	60	11	14	54	23	26	22	55	32	7	53	11
47	40	26	57	7	32	40	35	36	33	28	34	28	40	36	70	9	29	69	34	10	20	10	62	36	62	19	25	32	57	0	35	30	23	28	69	15	11	33	9	33	27	29	62	6	25	50	57	66	29	8	4	27	40	36	58	37	22	39	37	26	9	57	13	55	20	30	51	66	64	11	66	69	6	37	31	37	3	26	64	4	47
21	8	23	23	41	36	34	27	21	42	7	44	25	15	32	39	27	29	36	7	41	25	30	30	3	32	17	31	29	28	35	0	21	22	39	40	32	44	3	27	15	11	9	32	31	25	17	26	33	20	27	33	9	23	10	25	6	13	41	37	33	37	23	31	21	17	26	19	34	32	42	33	36	34	22	14	19	32	12	33	31	21
19	29	4	33	37	16	14	7	6	22	16	23	5	14	11	43	22	9	44	15	30	10	32	35	19	35	17	12	8	29	30	21	0	7	19	40	19	34	18	28	7	12	13	35	24	7	28	31	41	1	26	26	14	10	13	32	18	17	20	16	14	26	33	19	31	13	5	26	39	38	31	39	43	25	7	7	8	28	11	36	26	19
25	30	4	39	29	16	19	12	13	20	16	22	6	20	15	49	15	9	50	18	23	3	25	41	21	42	12	9	11	36	23	22	7	0	16	47	12	27	19	22	12	12	14	42	17	3	33	37	47	7	20	19	14	17	17	38	21	13	22	19	11	19	39	12	37	9	8	32	46	45	24	46	49	18	15	11	15	21	10	43	19	25
36	46	16	52	32	7	18	18	23	6	32	7	14	33	14	59	24	11	62	33	22	15	35	53	37	52	27	8	13	47	28	39	19	16	0	56	13	25	36	32	26	28	30	52	22	14	47	49	59	20	29	24	30	26	32	51	36	29	12	12	5	20	52	15	50	24	14	45	57	56	22	57	60	22	24	26	26	28	26	53	25	36
22	42	45	21	76	49	39	38	34	55	43	56	44	29	42	7	60	46	16	37	71	51	68	12	37	9	52	50	43	12	69	40	40	47	56	0	59	74	40	64	36	43	42	9	63	47	25	15	15	40	63	66	44	31	34	17	35	49	49	45	51	66	21	60	21	49	43	22	11	13	71	12	12	65	33	38	33	66	44	8	65	22
37	39	15	51	20	18	26	22	25	19	25	20	15	32	22	61	11	15	62	29	12	9	22	53	32	54	17	11	19	48	15	32	19	12	13	59	0	15	29	19	24	21	24	54	9	12	45	49	59	19	16	11	23	28	29	50	32	20	24	23	12	8	51	2	48	16	17	44	58	57	12	58	61	9	26	23	26	15	20	55	12	37
52	50	30	64	10	31	41	37	40	30	37	30	30	46	36	76	17	30	76	42	3	24	21	68	44	68	27	25	34	63	11	44	34	27	25	74	15	0	41	20	38	34	36	68	12	28	58	64	73	34	19	11	35	43	43	64	45	30	36	36	26	8	64	15	62	27	32	58	72	71	3	72	75	10	41	37	41	14	33	69	14	52
21	11	20	25	39	33	31	24	19	39	4	41	22	13	29	40	24	26	37	4	38	22	29	31	3	32	14	28	26	28	33	3	18	19	36	40	29	41	0	26	12	8	5	32	29	22	18	26	34	17	25	31	6	21	8	26	5	11	39	34	30	34	25	28	23	14	23	20	35	33	39	34	37	31	20	11	16	29	9	33	28	21
43	32	25	50	15	35	40	34	33	37	22	38	27	35	36	65	8	29	63	28	19	20	4	56	29	57	13	27	33	52	9	27	28	22	32	64	19	20	26	0	29	21	22	57	10	24	44	51	60	27	2	10	21	37	30	51	31	15	41	39	29	16	50	16	48	16	30	45	60	58	20	60	63	12	35	27	33	6	21	58	7	43
14	22	11	27	40	22	19	12	7	29	11	30	12	8	17	38	24	16	38	8	35	15	33	30	12	30	16	19	15	25	33	15	7	12	26	36	24	38	12	29	0	9	9	30	27	13	21	25	35	6	28	30	10	9	6	26	11	15	27	22	21	31	27	24	25	13	12	20	34	33	36	34	37	29	8	2	5	30	9	31	28	14
22	19	13	31	33	26	26	19	15	32	4	33	15	14	23	44	18	19	43	8	31	14	25	35	10	36	8	20	20	31	27	11	12	12	28	43	21	34	8	21	9	0	2	36	22	14	24	31	40	11	20	24	2	18	9	31	11	6	32	28	23	27	31	21	28	7	17	24	39	38	32	39	42	24	16	7	14	24	2	37	22	22
21	16	15	28	35	28	27	20	15	34	2	35	17	13	25	42	20	21	41	6	33	16	26	33	8	35	10	22	22	30	29	9	13	14	30	42	24	36	5	22	9	2	0	35	24	16	22	29	38	12	22	26	2	18	8	29	9	7	34	30	25	29	28	23	26	9	19	22	38	36	34	37	40	26	17	8	14	25	4	36	24	21
16	33	39	12	69	46	36	34	29	52	36	53	39	22	38	8	53	42	12	29	65	45	61	3	29	0	45	46	39	5	62	32	35	42	52	9	54	68	32	57	30	36	35	0	57	41	16	6	9	35	56	60	36	26	27	8	27	42	47	43	47	61	12	54	12	42	38	13	5	6	66	6	9	59	28	31	27	60	37	1	58	16
